bic_nombre,bic_categoria,bic_entorno,municipio_nombre,bic_descripcion,boletin1_nombre,boletin1_url,boletin2_nombre,boletin2_url
CASTILLO DE SAN JUAN,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Castillo de San Juan”, en el municipio de Santa Cruz, declarado por ministerio de la ley según Decreto de 22 de abril de 1949, publicado en el BOE nº 125 de 5 de mayo de 1949 y delimitación por Decreto 83/2003, de 12 de mayo, del Gobierno de Canarias, publicado en el BOC nº 109 de 10 de junio de 2003.",BOE Nº 125 de 5 de mayo de 1949,https://www.boe.es/datos/pdfs/BOE//1949/125/A02058-02059.pdf,BOC nº 109 de 10 de junio de 2003,http://www.gobiernodecanarias.org/boc/2003/109/008.html
IGLESIA DE SAN FRANCISCO,MONUMENTO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Francisco”, en el municipio del Puerto de la Cruz, declarado por Decreto 62/2013, de 31 de mayo, del Gobierno de Canarias, publicado en el BOC nº 111 de 12 de junio de 2013.",BOC nº 111 de 12 de junio de 2013,http://www.gobiernodecanarias.org/boc/2013/111/004.html,,
IGLESIA DE SANTA URSULA,MONUMENTO,verdadero,SANTA URSULA,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de Santa Úrsula”, en el municipio homónimo, declarado por Decreto 73/2006, de 31 de mayo, del Gobierno de Canarias, publicado en el BOC nº 113 de 13 de junio de 2006.",BOC nº 113 de 13 de junio de 2006,http://www.gobiernodecanarias.org/boc/2006/113/004.html,,
CASTILLO DE SAN ANDRÉS,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Castillo de San Andrés”, en el municipio de Santa Cruz, declarado por Decreto de 22 de abril de 1949, del Ministerio de Educación Nacional, publicado en el BOE nº 125 de 5 de mayo de 1949, y delimitación del entorno de protección por Decreto 308/1999, de 19 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 159 de 3 de diciembre de 1999.",BOE nº 125 de 5 de mayo de 1949,https://www.boe.es/datos/pdfs/BOE//1949/125/A02058-02059.pdf,BOC nº 159 de 3 de diciembre de 1999,http://www.gobiernodecanarias.org/boc/1999/159/016.html
INMUEBLE EN LA CALLE CALVARIO Nº 52 Y 54. CASA HERNÁNDEZ DEL ÁLAMO,MONUMENTO,verdadero,OROTAVA (LA),"Bien de Interés Cultural con categoría de Monumento de los “Inmuebles sitos en la calle Calvario 52 y 54”, en el municipio de La Orotava, declarado por Decreto 63/2002, de 20 de mayo, del Gobierno de Canarias, publicado en el BOC nº 66 de 24 de mayo de 2002. ", BOC nº 66 de 24 de mayo de 2002,http://www.gobiernodecanarias.org/boc/2002/066/007.html,,
IGLESIA DE NUESTRA SEÑORA DE LAS NIEVES DE TAGANANA,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de Nuestra Señora de las Nieves de Taganana”, en el municipio de Santa Cruz, declarado por Decreto 130/2006, de 26 de septiembre, del Gobierno de Canarias, publicado en el BOC nº 196 de 6 de octubre de 2006.",BOC nº 196 de 6 de octubre de 2006,http://www.gobiernodecanarias.org/boc/2006/196/005.html,,
IGLESIA DE SAN ANTONIO DE PADUA,MONUMENTO,verdadero,TANQUE (EL),"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Antonio de Padua”, en el municipio de El Tanque, declarado por Decreto 117/2011, de 17 de mayo, del Gobierno de Canarias, publicado en el BOC nº 106 de 31 de mayo de 2011.",BOC nº 106 de 31 de mayo de 2011,http://www.gobiernodecanarias.org/boc/2011/106/011.html,,
TEMPLO  MASONICO,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Templo Masónico”, en el municipio de Santa Cruz, declarado por Decreto 390/2007, de 6 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 229 de 15 de noviembre de 2007.",BOC nº 229 de 15 de noviembre de 2007,https://www.gobiernodecanarias.org/boc/2007/229/002.html,,
MOLINO Y LAVADEROS DE ARAFO,SITIO ETNOLÓGICO,verdadero,ARAFO,"Bien de Interés Cultural con categoría de Sitio Etnológico del “Molino y Lavaderos”, en el municipio de Arafo, declarado por Decreto 41/2006, de 9 de mayo, del Gobierno de Canarias, publicado en el BOC nº 96 de 19 de mayo de 2006.",BOC nº 96 de 19 de mayo de 2006,http://www.gobiernodecanarias.org/boc/2006/096/015.html,,
ERMITA DEL SOCORRO,MONUMENTO,verdadero,GÜIMAR,"Bien de Interés Cultural con categoría de Monumento de la “Ermita del Socorro”, en el municipio de Güímar, declarado por Acuerdo del Gobierno de Canarias de 19 de noviembre de 1990, publicado en el BOC nº 92 de 16 de julio de 1993.",BOC nº 92 de 16 de julio de 1993,http://www.gobiernodecanarias.org/boc/1993/092/008.html,,
CASA DEL BEATO PADRE ANCHIETA,MONUMENTO,falso,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Casa del Beato Padre Anchieta”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 50/1986, de 14 de marzo, del Gobierno de Canarias, publicado en el BOC nº 38 de 2 de abril de 1986.", BOC nº 38 de 2 de abril de 1986,http://www.gobiernodecanarias.org/boc/1986/038/006.html,,
IGLESIA DE SAN ANTONIO ABAD,MONUMENTO,verdadero,ARONA,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Antonio Abad”, en el municipio de Arona, declarado por Decreto 236/2017, de 27 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 234, de 5 de diciembre de 2017.",BOC nº 234 de 5 de diciembre de 2017,http://www.gobiernodecanarias.org/boc/2017/234/019.html,,
IGLESIA PARROQUIAL DE SAN BENITO ABAD,MONUMENTO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Benito Abad”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 153/2007, de 5 de junio, del Gobierno de Canarias, publicado en el BOC nº 120 de 16 de junio de 2007", BOC nº 120 de 16 de junio de 2007,http://www.gobiernodecanarias.org/boc/2007/120/008.html,,
IGLESIA DEL AMPARO,MONUMENTO,verdadero,ICOD DE LOS VINOS,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia del Amparo”, en el municipio de Icod de los Vinos, declarado por Decreto 131/2007, de 24 de mayo, del Gobierno de Canarias, publicado en el BOC nº 118 de 14 de junio de 2007.",BOC nº 118 de 14 de junio de 2007,http://www.gobiernodecanarias.org/boc/2007/118/013.html,,
CASA BORGES ESTÉVANEZ,SITIO HISTÓRICO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Sitio Histórico de la “Casa Borges-Estévanez”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 58/2014, de 29 de mayo, del Gobierno de Canarias, publicado en el BOC nº 110 de 10 de junio de 2014.",BOC nº 110 de 10 de junio de 2014,http://www.gobiernodecanarias.org/boc/2014/110/002.html,,
CASA CAMPINO,MONUMENTO,verdadero,ICOD DE LOS VINOS,"Bien de Interés Cultural con categoría de Monumento de la “Casa Campino”, en el municipio de Icod de los Vinos, declarado por Decreto 100/2006, de 11 de julio, del Gobierno de Canarias, publicado en el BOC nº 139 de 19 de julio de 2006.",BOC nº 139 de 19 de julio de 2006,http://www.gobiernodecanarias.org/boc/2006/139/004.html,,
CASTILLO DE SAN FELIPE,MONUMENTO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Monumento del “Castillo de San Felipe”, en el municipio del Puerto de la Cruz, declarado por ministerio de la ley según Decreto de 22 de abril de 1949, publicado en el BOE nº 125 de 5 de mayo de 1949 y delimitación por Decreto 246/2010, de 3 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 246 de 16 de diciembre de 2010.",BOE Nº 125 de 5 de mayo de 1949,https://www.boe.es/datos/pdfs/BOE//1949/125/A02058-02059.pdf,BOC nº 246 de 16 de diciembre de 2010,http://www.gobiernodecanarias.org/boc/2010/246/011.html
SECADERO DE TABACO,SITIO ETNOLÓGICO,verdadero,GRANADILLA DE ABONA,"Bien de Interés Cultural con categoría de Sitio Etnológico del “Secadero de tabaco”, en el municipio de Granadilla, declarado por Decreto 159/2008, de 15 de julio, del Gobierno de Canarias, publicado en el BOC nº 151 de 29 de julio de 2008.",BOC nº 151 de 29 de julio de 2008,http://www.gobiernodecanarias.org/boc/2008/151/009.html,,
CASA DEL PASEO Y CAPILLA DE SAN JUAN,SITIO HISTÓRICO,verdadero,GÜIMAR,"Bien de Interés Cultural con categoría de Sitio Histórico de la “Casa del Paseo y Capilla de San Juan”, en el municipio de Güímar, declarado por Decreto 21/2008, de 19 de febrero, del Gobierno de Canarias, publicado en el BOC nº 42 de 27 de febrero de 2008.",BOC nº 42 de 27 de febrero de 2008,http://www.gobiernodecanarias.org/boc/2008/042/009.html,,
CASA DE LOS GUZMANES,SITIO ETNOLÓGICO,verdadero,TANQUE (EL),"Bien de Interés Cultural con categoría de Sitio Etnológico de la “Casa de los Guzmanes”, en el municipio de El Tanque, declarado por Decreto 118/2014, de 12 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 247 de 22 de diciembre de 2014. ",BOC nº 247 de 22 de diciembre de 2014,http://www.gobiernodecanarias.org/boc/2014/247/005.html,,
ANTIGUO CONVENTO FRANCISCANO DE NTRA. SRA. DE GUADALUPE Y SAN PABLO,MONUMENTO,verdadero,ADEJE,"Bien de Interés Cultural con categoría de Monumento del “Antiguo Convento Franciscano de Nuestra Señora de Guadalupe y San Pablo”, en el municipio de Adeje, declarado por Decreto 30/1986, de 7 de febrero, del Gobierno de Canarias, publicado en el BOC nº 28 de 7 de marzo de 1986, y modificación de la denominación y de la categoría, y delimitación del entorno de protección por Decreto 107/2014, de 6 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 222 de 14 de noviembre de 2014.",BOC nº 28 de 7 de marzo de 1986,http://www.gobiernodecanarias.org/boc/1986/028/006.html,BOC nº 222 de 14 de noviembre de 2014,http://www.gobiernodecanarias.org/boc/2014/222/005.html
ERMITA DE NUESTRA SEÑORA DE GRACIA,MONUMENTO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Ermita de Nuestra Señora de Gracia”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 37/2006, de 9 de mayo, del Gobierno de Canarias, publicado en el BOC nº 96 de 19 de mayo de 2006.",BOC nº 96 de 19 de mayo de 2006,http://www.gobiernodecanarias.org/boc/2006/096/012.html,,
CASA DE LA ESQUINA DE LOS CARROS,SITIO HISTÓRICO,verdadero,ARAFO,"Bien de Interés Cultural con categoría de Sitio Histórico de la “Casa de la esquina de los Carros”, en el municipio de Arafo, declarado por Decreto 158/2006, de 31 de octubre, del Gobierno de Canarias, publicado en el BOC nº 219 de 10 de noviembre de 2006.", BOC nº 219 de 10 de noviembre de 2006,http://www.gobiernodecanarias.org/boc/2006/219/016.html,,
CASA  MIRANDA,MONUMENTO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Monumento de la “Casa Miranda”, en el municipio del Puerto de la Cruz declarado por Decreto 47/2009, de 28 de abril, del Gobierno de Canarias, publicado en el BOC nº 091 de 14 de mayo de 2009.", BOC nº 091 de 14 de mayo de 2009,http://www.gobiernodecanarias.org/boc/2009/091/006.html,,
IGLESIA DE SAN JOSE,MONUMENTO,verdadero,SAN JUAN DE LA RAMBLA,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San José”, en el municipio de San Juan de la Rambla, declarado por Decreto 42/2006, de 9 de mayo, del Gobierno de Canarias, publicado en el BOC nº 98 de 22 de mayo de 2006.",BOC nº 98 de 22 de mayo de 2006,http://www.gobiernodecanarias.org/boc/2006/098/006.html,,
CASA NATAL DE JOSÉ ANTONIO VIERA Y CLAVIJO,MONUMENTO,falso,REALEJOS (LOS),"Bien de Interés Cultural con categoría de Monumento de la “Casa natal de José Antonio Viera y Clavijo”, en el municipio de Los Realejos, declarado por Decreto 50/1986 de 14 de marzo, del Gobierno de Canarias, publicado en el BOC nº 38 de 2 de abril de 1986.",BOC nº 38 de 2 de abril de 1986,https://www.gobiernodecanarias.org/boc/1986/038/006.html,,
IGLESIA PARROQUIAL DE SAN LÁZARO,MONUMENTO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Iglesia Parroquial de San Lázaro”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 203/2005, de 25 de octubre, del Gobierno de Canarias, publicado en el BOC nº 215 de 3 de noviembre de 2015.",BOC nº 215 de 3 de noviembre de 2005,http://www.gobiernodecanarias.org/boc/2005/215/003.html,,
LA CASA DE LA PORTUGUESA,MONUMENTO,verdadero,SANTA URSULA,"Bien de Interés Cultural con categoría de Monumento de la “Casa de la Portuguesa”, en el municipio de Santa Úrsula, declarado por Decreto 130/2007, de 24 de mayo, del Gobierno de Canarias, publicado en el BOC nº 118 de 14 de junio de 2007.",BOC nº 118 de 14 de junio de 2007,http://www.gobiernodecanarias.org/boc/2007/118/012.html,,
ERMITA DE SAN TELMO,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento de la “Ermita de San Telmo”, en el municipio de Santa Cruz, declarado por Decreto 21/2009, de 17 de febrero, del Gobierno de Canarias, publicado en el BOC nº 36 de 23 de febrero de 2009.",BOC nº 36 de 23 de febrero de 2009,http://www.gobiernodecanarias.org/boc/2009/036/010.html,,
CASTILLO DE SAN MIGUEL,MONUMENTO,verdadero,GARACHICO,"Bien de Interés Cultural con categoría de Monumento del “Castillo de San Miguel”, en el municipio de Garachico, declarado por Decreto de 22 de abril de 1949, publicado en el BOE nº 125 de 5 de mayo de 1949 y delimitación del entorno de protección por Decreto 307/1999, de 19 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 159 de 3 de diciembre de 1999.",BOE Nº 125 de 5 de mayo de 1949,https://www.boe.es/datos/pdfs/BOE//1949/125/A02058-02059.pdf, BOC nº 159 de 3 de diciembre de 1999,http://www.gobiernodecanarias.org/boc/1999/159/015.html
LO DE RAMOS,SITIO HISTÓRICO,verdadero,ARAFO,"Bien de Interés Cultural con categoría de Sitio Histórico de “Lo de Ramos”, en el municipio de Arafo, declarado por Decreto 237/2008, de 9 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 255 de 22 de diciembre de 2008.",BOC nº 255 de 22 de diciembre de 2008,http://www.gobiernodecanarias.org/boc/2008/255/011.html,,
ERMITA DE NUESTRA SEÑORA DEL BUEN PASO,SITIO HISTÓRICO,verdadero,ICOD DE LOS VINOS,"Bien de Interés Cultural con categoría de Sito Histórico de la “Ermita de Nuestra Señora de Buen Paso”, en el municipio de Icod de los Vinos, declarado por Decreto 86/2003, de 12 de mayo, del Gobierno de Canarias, publicado en el BOC nº 109 de 10 de junio de 2003.",BOC nº 109 de 10 de junio de 2003,http://www.gobiernodecanarias.org/boc/2003/109/010.html,,
CASA DEL CAPITAN,MONUMENTO,verdadero,SANTA URSULA,"Bien de Interés Cultural con categoría de Monumento de la “Casa del Capitán”, en el municipio de Santa Úrsula, declarado por Decreto 365/2007 de 2 de octubre, del Gobierno de Canarias, publicado en el BOC nº 204 de 11 de octubre de 2007.",BOC nº 204 de 11 de octubre de 2007,http://www.gobiernodecanarias.org/boc/2007/204/006.html,,
ERMITA DE SAN MIGUEL ARCÁNGEL,MONUMENTO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Ermita de San Miguel”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 343/1999, de 17 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 37 de 24 de marzo de 2000.",BOC nº 37 de 24 de marzo de 2000,http://www.gobiernodecanarias.org/boc/2000/037/007.html,,
ERMITA DEL CALVARIO,MONUMENTO,verdadero,ICOD DE LOS VINOS,"Bien de Interés Cultural con categoría de Monumento de la “Ermita del Calvario”, en el municipio de Icod de los Vinos, declarado por Decreto 23/2006, de 21 de febrero, del Gobierno de Canarias, publicado en el BOC nº 43 de 2 de marzo de 2006.",BOC nº 43 de 2 de marzo de 2006,http://www.gobiernodecanarias.org/boc/2006/043/005.html,,
CASA MASCAREÑO,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento de la “Casa Mascareño”, en el municipio de Santa Cruz, declarado por Decreto 147/2008, de 1 de julio, del Gobierno de Canarias, publicado en el BOC nº 137 de 9 de julio de 2008.",BOC nº 137 de 9 de julio de 2008,http://www.gobiernodecanarias.org/boc/2008/137/004.html,,
ERMITA DE SAN TELMO,MONUMENTO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Monumento de la “Ermita de San Telmo”, en el municipio del Puerto de la Cruz, declarado por Decreto 21/2000, de 15 de febrero, del Gobierno de Canarias, publicado en el BOC nº 81 de 30 de junio de 2000.",BOC nº 81 de 30 de junio de 2000,http://www.gobiernodecanarias.org/boc/2000/081/030.html,,
LA CASA AMARILLA,SITIO HISTÓRICO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Sitio Histórico de la “Casa Amarilla”, en el municipio del Puerto de la Cruz, declarado por Decreto 69/2005, de 26 de abril, del Gobierno de Canarias, publicado en el BOC nº 88 de 6 de mayo de 2005.",BOC nº 88 de 6 de mayo de 2005,http://www.gobiernodecanarias.org/boc/2005/088/010.html,,
MOLINO DE CUEVAS BLANCAS,SITIO HISTÓRICO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Sitio Histórico del “Molino de Cuevas Blancas”, en el municipio de Santa Cruz, declarado por Decreto 416/2007, de 18 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 259 de 31 de diciembre de 2007.",BOC nº 259 de 31 de diciembre de 2007,http://www.gobiernodecanarias.org/boc/2007/259/005.html,,
HORNOS DE CAL,SITIO ETNOLÓGICO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Sitio Etnológico de los “Hornos de Cal”, en el municipio del Puerto de la Cruz, declarado por Decreto 31/2009, de 31 de marzo, del Gobierno de Canarias, publicado en el BOC nº 71 de 15 de abril de 2009.",BOC nº 71 de 15 de abril de 2009,http://www.gobiernodecanarias.org/boc/2009/071/002.html,,
ERMITA DE SAN ISIDRO LABRADOR,MONUMENTO,verdadero,GRANADILLA DE ABONA,"Bien de Interés Cultural con categoría de Monumento de la “Ermita de San Isidro Labrador”, en el municipio de Granadilla, declarado por Decreto 158/2008, de 15 de julio, del Gobierno de Canarias, publicado en el BOC nº 151 de 29 de julio de 2008.",BOC nº 151 de 29 de julio de 2008,http://www.gobiernodecanarias.org/boc/2008/151/008.html,,
LAGAR SITO EN EL Nº 198 DE LA CALLE REAL,SITIO ETNOLÓGICO,verdadero,MATANZA DE ACENTEJO (LA),"Bien de Interés Cultural con categoría de Sitio Etnológico del “Lagar de la C/ Real nº 198”, en el municipio de La Matanza, declarado por Decreto 211/2005, de15 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 232 de 25 de noviembre de 2005.",BOC nº 232 de 25 de noviembre de 2005,http://www.gobiernodecanarias.org/boc/2005/232/010.html,,
LA HIDRO,SITIO HISTÓRICO,verdadero,GÜIMAR,"Bien de Interés Cultural con categoría de Sitio Histórico de “La Hidro”, en el municipio de Güímar, declarado por Decreto 393/2007, de 20 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 240 de 30 de noviembre de 2007.",BOC nº 240 de 30 de noviembre de 2007,http://www.gobiernodecanarias.org/boc/2007/240/013.html,,
MOLINO DE BARRANCO GRANDE,SITIO HISTÓRICO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Sitio Histórico del “Molino de Barranco Grande”, en el municipio de Santa Cruz, declarado por Decreto 418/2007, del Gobierno de Canarias, de 18 de diciembre, publicado en el BOC nº 259 de 31 de diciembre de 2007.",BOC nº 259 de 31 de diciembre de 2007,http://www.gobiernodecanarias.org/boc/2007/259/007.html,,
POZO DE LA VIRGEN DE CANDELARIA,MONUMENTO,verdadero,CANDELARIA,"Bien de Interés Cultural con categoría de Monumento del “Pozo de la Virgen de Candelaria”, en el municipio de homónimo, declarado por Acuerdo del Gobierno de Canarias de 14 de agosto de 1990, publicado en el BOC nº 92 de 16 de julio de 1993.",BOC nº 92 de 16 de julio de 1993,http://www.gobiernodecanarias.org/boc/1993/092/004.html,,
CAPILLA DE SAN PEDRO ARRIBA,MONUMENTO,verdadero,GÜIMAR,"Bien de Interés Cultural con categoría de Monumento de la “Capilla de San Pedro de Arriba”, en el municipio de Güímar, declarado por Decreto 21/2006, de 21 de febrero, del Gobierno de Canarias, publicado en el BOC nº 43 de 2 de marzo de 2006.",BOC nº 43 de 2 de marzo de 2006,http://www.gobiernodecanarias.org/boc/2006/043/003.html,,
TORREÓN DE VENTOSO,MONUMENTO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Monumento del “Torreón de Ventoso”, en el municipio del Puerto de la Cruz, declarado por Decreto 80/2014, de 10 de julio, del Gobierno de Canarias, publicado en el BOC nº 138 de 18 de julio de 2014.",BOC nº 138 de 18 de julio de 2014,http://www.gobiernodecanarias.org/boc/2014/138/003.html,,
ERMITA DE SANTA CATALINA,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento de la “Ermita de Santa Catalina”, en el municipio de Santa Cruz, declarado por Decreto 85/2008, de 29 de abril, del Gobierno de Canarias, publicado en el BOC nº 93 de 9 de mayo de 2008.",BOC nº 93 de 9 de mayo de 2008,http://www.gobiernodecanarias.org/boc/2008/093/007.html,,
CAPILLA DE SAN PEDRO ABAJO,MONUMENTO,verdadero,GÜIMAR,"Bien de Interés Cultural con categoría de Monumento de la “Capilla de San Pedro de Abajo”, en el municipio de Güímar, declarado por Decreto 22/2006, de 21 de febrero, del Gobierno de Canarias, publicado en el BOC nº 43 de 2 de marzo de 2006.", BOC nº 43 de 2 de marzo de 2006,http://www.gobiernodecanarias.org/boc/2006/043/004.html,,
MOLINO DE GOFIO DEL RISCO DE LAS PENCAS,SITIO ETNOLÓGICO,verdadero,SAN JUAN DE LA RAMBLA,"Bien de Interés Cultural con categoría de Sitio Etnológico del “Molino de Gofio del Risco de las Pencas"", en el municipio de San Juan de la Rambla, declarado por Decreto 413/2007, de 11 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 252 de 19 de diciembre de 2017.",BOC nº 252 de 19 de diciembre de 2017,http://www.gobiernodecanarias.org/boc/2007/252/002.html,,
BARRANCO DEL MUERTO,ZONA ARQUEOLÓGICA,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Zona Arqueológica del “Barranco del Muerto”, en el municipio de Santa Cruz, con entorno de protección declarado por Decreto 84/2014, de 24 de julio, del Gobierno de Canarias, publicado en el BOC nº 148 de 1 de agosto de 2014.",BOC nº 148 de 1 de agosto de 2014,http://www.gobiernodecanarias.org/boc/2014/148/002.html,,
MOLINO DE LA MENORA,SITIO ETNOLÓGICO,verdadero,GÜIMAR,"Bien de Interés Cultural con categoría de Sitio Etnológico del “Molino de la Menora”, en el municipio de Güímar, declarado por Decreto 417/2007, de 18 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 259 de 31 de diciembre de 2007.",BOC nº 259 de 31 de diciembre de 2007,http://www.gobiernodecanarias.org/boc/2007/259/006.html,,
MOLINO DE LLANO DEL MORO,SITIO ETNOLÓGICO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Sitio Etnológico del “Molino de Llano del Moro”, en el municipio de Santa Cruz, declarado por Decreto 77/2005, de 17 de mayo, del Gobierno de Canarias, publicado en el BOC nº 104 de 27 de mayo de 2005.",BOC nº 104 de 27 de mayo de 2005,http://www.gobiernodecanarias.org/boc/2005/104/003.html,,
LA GALLEGA,ZONA ARQUEOLÓGICA,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Zona Arqueológica de “La Gallega”, en el municipio de Santa Cruz, declarado por Decreto 209/2008, de 21 de octubre, del Gobierno de Canarias, publicado en el BOC nº 217 de 29 de octubre de 2008.",BOC nº 217 de 29 de octubre de 2008,http://www.gobiernodecanarias.org/boc/2008/217/002.html,,
ESCULTURA DE JUAN DE ÁVALOS GARCÍA TABORDA SITUADA EN LA CONFLUENCIA DE LA AVENIDA DE ANAGA Y LA RAMBLA DE SANTA CRUZ,MONUMENTO,falso,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento de la ""Escultura de Juan de Ávalos García Taborda situada en la confluencia de la Avenida de Anaga y la Rambla de Santa Cruz"", incoado por Resolución de 24 de septiembre de 2024 de la Directora Insular de 
Planificación Territorial, Paisaje y Patrimonio Histórico, publicado en el BOC nº 198 de 4 de octubre de 2024.
",BOC nº 198 de 4 de octubre de 2024,https://www.gobiernodecanarias.org/boc/2024/198/3189.html,,
