punto_interes_tipo,punto_interes_descripcion,punto_interes_nombre,espacio_natural_nombre,punto_interes_subtipo,latitud,longitud
Patrimonio Geológico,"La Ladera de Tigaiga es una majestuosa formación que se destaca por su rica vegetación de laureles. Esta impresionante ladera montañosa ofrece un paisaje espectacular, donde la densa vegetación de laureles crea una atmósfera de belleza natural.",Ladera de Tigaiga,Parque Natural de Corona Forestal,Formación rocosa,28.36733428962972,-16.59471990699557
Cultura y Arte,"Casa de principios del s.XX, que desde el año 2014 se convirtió en el Centro de Interpretación Casa Los Zamorano donde se está llevando a cabo un proyecto de gestión del patrimonio cultural de Tegueste. La dinamización de La Casa implica el establecimiento de varias líneas de trabajo paralelas. Esta planificación incluye la mediación cultural con la comunidad y la atención de las visitas a la Casa Los Zamorano, además de otras actuaciones relacionadas con la coordinación y seguimiento general del proyecto: la gestión de la propia exposición con montajes expositivos permanentes y temporales, la gestión y conservación preventiva de la colección de objetos y documentos, la implementación y desarrollo del enfoque didáctico para escolares, trabajos de documentación, digitalización, investigación, entrevistas, rutas, organización de eventos culturales en La Casa y la colaboración con otras instituciones del ámbito patrimonial implicadas con el proyecto de Los Zamorano",Centro de Interpretación museo etnográfico Casa de los Zamorano,,Centro de interpretación/museo,28.52153233278798,-16.335625303039183
Patrimonio Geológico,,La Zapatilla de la Reina,Parque Nacional del Teide,Formación rocosa,28.21097045030677,-16.658030812166547
Patrimonio Geológico,,Risco de la Fortaleza,Parque Nacional del Teide,Formación rocosa,28.313713790174003,-16.600577597635056
Patrimonio Biológico,"Este ejemplar tiene tres ramas principales. Presenta el aspecto de la quilla de un barco, al estar bifurcado por una gran rama desde la base",Pino de la Quilla,,Árbol monumental,28.38408173422404,-16.477890440908617
Patrimonio Geológico,"El Volcán de Fasnia es un cono volcánico relativamente joven, cuya última erupción tuvo lugar en 1705. Este cono volcánico se distingue por su intensa coloración negra, que es característica de las rocas volcánicas.",Volcán de Fasnia,Parque Nacional del Teide,Montaña/Volcán,28.284451913508818,-16.513897396396434
Patrimonio Arquitectónico,"La ermita de Santa Catalina mártir en Taganana remonta sus orígenes a la década de 1620. El 4 de mayo de 1621 el oficial de albañilería Juan García, residente en el Realejo Bajo, se comprometía a edificarla en términos muy precisos: «una ermita de treinta pies de hueco […] y dieciocho de ancho de hueco, y las paredes han de tener de ancho tres cuartas de vara». Fue edificada bajo la forma convenida en los meses siguientes, aunque no tuvo una escritura dotacional hasta que el alcalde y el párroco del lugar la firmaron junto a otros vecinos en representación del resto hasta 1630. De ahí que la fábrica quedara situada a un extremo de la plaza principal del pueblo, frente a la parroquia y junto a las principales viviendas del lugar. Siempre fue un recinto de gran sencillez, que se mantuvo con las condiciones exigibles para el culto y con pocos recursos",Ermita de Santa Catalina,Parque Rural de Anaga,Edificio religioso,28.561247598140515,-16.216834876439854
Patrimonio Biológico,"Su tronco está bifurcado a 130 cm y ha sido aprovechado para instalar la señalización de las actividades prohibidas 
en el entorno, como acampar y hacer fuego",Pino Gordo ,Parque Natural de Corona Forestal,Árbol monumental,28.20853563230072,-16.53953043304357
Patrimonio Geológico,"Paraje virgen y asilado compuesta de piedras y callados en su totalidad. El oleaje es muy fuerte y las corrientes muy peligrosas. Sus dimensiones aproximadamente son de 370 metros de longitud por 10 metros de anchura. Se accede a pie, no existen carreteras cercanas. Es una playa que no ofrece infraestructua ni ningún tipo de serviciio.",Playa de Troche,Parque Rural de Anaga,Playa,28.5711594566799,-16.311469174922593
Patrimonio Arquitectónico,"Inmueble que acogió, además de la vivienda del sacerdote que lleva su nombre, la primera escuela pública de Tegueste en 1849",Casa del Prebendado Pacheco,,Edificio emblemático,28.52311716676359,-16.336167972687146
Patrimonio Etnográfico,,Lavaderos de Cuevas Negras,Parque Rural de Teno,Instalación hidráulica,28.347700271070163,-16.81289017207378
Patrimonio Geológico,"El Pico Teide es el punto más alto de la geografía española, al que solo se puede acceder con autorización previa, ya que su acceso está restringido.",Pico Teide,Monumento Natural del Teide,Montaña/Volcán,28.272598581018748,-16.642206055816594
Patrimonio Arquitectónico,Lugar donde en 1909 se hizo una rogativa para que el volcán Chinyero dejara de escupir lava en la última erupción volcánica de Tenerife,Santuario del Calvario de la Virgen,Reserva Natural Especial del Chinyero,Edificio religioso,28.3012715279093,-16.78980259710509
Patrimonio Arquitectónico,"Ermita construida en 1677 en  honor a San Mateo Apóstol y ampliada en 1876, que alberga un lienzo del Apóstol hallado por unos pescadores en una cueva de la Punta del Hidalgo",Iglesia de San Mateo,,Edificio religioso,28.568794574950747,-16.325494153200413
Patrimonio Geológico,,Barranco de los Auchones,Parque Rural de Anaga,Barranco,28.561880320750404,-16.22929077976119
Servicios y Facilidades,"Venta de productos Agrícolas, Artesanales y Ecológicos de la zona",Mercadillo del Agricultor de El Palmar,Parque Rural de Teno,Mercado (festivos),28.342711583490185,-16.851077416924955
Servicios y Facilidades,"Este mirador esta a las faldas de Montaña Grande y ofrece inigualables vistas del malpaís, cubierto de tabaibas y cardones, con el océano al fondo",Mirador Morras del Corcho,Reserva Natural Especial del Malpaís de Güímar,Mirador,28.31280068603865,-16.37101549136655
Patrimonio Geológico,,Barranco de las Hiedras,,Barranco,28.191683440083928,-16.497672524353415
Patrimonio Arquitectónico,"Situado estratégicamente en el margen derecho de la bocana de la antigua rada natural de Garachico, actualmente se encuentra en la avenida Tomé Cano, que bordea el casco histórico de esta localidad por el lado de El Caletón. Al igual que los anteriores, su función era la de defender la entrada a la gran bahía natural que fue sepultada con la erupción de 1706. Su planta es cuadrada, con una pequeña entrada por el costado sur rematada por diferentes escudos heráldicos.",Castillo de San Miguel,,Edificio militar,28.373163060921048,-16.766071694770407
Patrimonio Geológico,,Paisaje Lunar de Teno Alto,Parque Rural de Teno,Formación rocosa,28.348066888873152,-16.87981355595797
Patrimonio Etnográfico,,Lagar de la Fincha Las Haciendas,,Instalación agrícola,28.3705096944384,-16.398026750482025
Patrimonio Geológico,,Barranco Roque Bermejo,Parque Rural de Anaga,Barranco,28.577550921969312,-16.13594063083461
Patrimonio Arquitectónico,Elemento arquitectónico de gran importancia para las comunicaciones del municipio con el exterior. Fue destruido en varias ocasiones debido a la fuerza del torrente,Puente de Palo,,Infraestructura emblemática,28.52397027807817,-16.332929111155224
Patrimonio Arquitectónico,"Pequeña fortaleza del siglo XVIII para defender la costa de ataques, que conserva tres de los cañones",Fortín de San Fernando,Paisaje Protegido de Rambla de Castro,Edificio militar,28.39752483293609,-16.591497261859164
Patrimonio Biológico,Conjuno de cipreses que se encuentran en la Plaza de la iglesia de San Pablo Apóstol,Cipreses de Vilaflor,,Árbol monumental,28.159667063061647,-16.63732567906549
Patrimonio Etnográfico,,Era de los Brezos,Reserva Natural Especial del Barranco del Infierno,Instalación agrícola,28.122144758879323,-16.6899800238603
Patrimonio Biológico,"Está en el borde de una huerta, junto a un muro, con una antigua atarjea de tea que pasa por su base.  En el otro lado de la casa hay otro magnífico ejemplar de drago que es visible desde la carretera. Su edad ronda los 240 años, ya que cuenta con 16 ramificaciones",Dragos del Cura,Parque Rural de Anaga,Árbol monumental,28.55923508009894,-16.21747136943067
Patrimonio Geológico,,Barranco del Río / Barranco del Batán,Parque Rural de Anaga,Barranco,28.54408107046325,-16.290850800054145
Patrimonio Arquitectónico,"Su construcción se inició en 1843 gracias a la aportación de los vecinos. Aunque Tegueste se había constituido como municipio en 1813, no disponía de una sede para las dependencias municipales. Este edificio sirvió también como alhóndiga, casa mortuoria y escuela",Antiguo Ayuntamiento,,Edificio civil,28.52308277915948,-16.336652363848753
Patrimonio Etnográfico,Dos eras en muy buen estado de conservación,Eras del Caserío de Talavera,Parque Rural de Teno,Instalación agrícola,28.35490387649564,-16.8309151796204
Patrimonio Arquitectónico,"Levantada en la Plaza de este barrio de Buenavista, se erige esta preciosa ermita tradicional",Iglesia Las Portelas,Parque Rural de Teno,Edificio religioso,28.325682555339984,-16.84228512551477
Patrimonio Arquitectónico,"Según la tradición oral, cuando una epidemia de peste azotó la isla en 1583 el Cabildo, que entonces tenía su sede en La Laguna, se reunió en este edificio",Casa de la Audiencia,,Edificio emblemático,28.524145138611257,-16.33442327804947
Servicios y Facilidades,En este parque aún se conserva el arco de la puerta que daba entrada al antiguo puerto de Garachico en el siglo XVI. En él también puede verse de cerca el viejo lagar en muy buen estado,Parque la Puerta de la Tierra,,Plaza/parque,28.372059056001685,-16.765329999681473
Patrimonio Arquitectónico,Una obra que marcó un hito en su tiempo por lo complicado de la orografía del terreno y por haberse instalado en su interior la primera máquina de vapor de la Isla de Tenerife,Estación de bombeo La Gordejuela (Casa del Agua),Paisaje Protegido de Rambla de Castro,Edificio hidráulico,28.39893041694593,-16.585883583591276
Servicios y Facilidades,"El Refugio de Altavista, ubicado a 3.260 metros de altitud, se encuentra en el punto perfecto para disfrutar del mejor amanecer de Tenerife, con la majestuosa sombra del volcán proyectándose sobre el océano Atlántico",Refugio de Altavista,Monumento Natural del Teide,Refugio,28.27414511094285,-16.62937555563068
Patrimonio Geológico,"El Campo de Volcanes de Montaña Mojino - Boca de Cascajos, destaca por su belleza natural, y está situado en la zona de Trevejos a una elevación de 1.422 metros. Esta zona es referencia para senderistas y deportistas.",Campo de Volcanes Montaña Mojino - Boca de Cascajos (Trevejos),Paisaje Protegido de Ifonche,Montaña/Volcán,28.153538204621803,-16.667184074207302
Cultura y Arte,"Bentor, hijo de Bencomo, lideró la batalla conocida como la segunda gran derrota guanche en la Victoria de Acentejo. Tras el desastre, se refugió junto a sus hombres en los altos de la ladera de Tigaiga, donde decide poner fin a su vida despeñándose, a principios de 1496. Escultura de bronce de la artista Carmen Luis León",Escultura Mencey Bentor,,Escultura,28.38481722187272,-16.603470861376085
Patrimonio Geológico,"De fina arena negra y en un entorno rocoso, esta playa virgen se extiende a través de 300 metros de longitud por 35 de ancho y es de fácil acceso. Muy apreciada por los amantes del surf por la fuerza de sus aguas, si vas a bañarte debes tener mucho cuidado y vigilar el estado del mar ya que sus corrientes y su fuerte oleaje la hacen muy   peligrosa. Solo en los meses de julio, agosto y septiembre es vigilada por socorristas. En la temporada de verano y los fines de semana alcanza una ocupación media-alta pasando a ser baja durante el resto del año. No dispone de servicio de hamacas y sombrillas y cuenta con un kiosko frente a la playa. ",Playa de Almáciga,Parque Rural de Anaga,Playa,28.57214167792943,-16.19266302895854
Patrimonio Geológico,"El Cabezo de Tenejía es un impresionante roque ubicado en las proximidades de Las Carboneras, que se erige como un punto de referencia destacado en la zona. Con una altitud de casi 650 metros, esta formación geológica se alza majestuosamente sobre el paisaje circundante.",Cabezo de Tenejías,Parque Rural de Anaga,Formación rocosa,28.559415567982008,-16.28216211435905
Patrimonio Geológico,,Barranco de Afur,Parque Rural de Anaga,Barranco,28.56088373181312,-16.252805463114015
Patrimonio Etnográfico,,Era del Corral de la Abejera,Parque Natural de Corona Forestal,Instalación agrícola,28.16255065337994,-16.575976941775004
Patrimonio Arquitectónico,"Levantada en el siglo XIX junto a los cipreses de la plaza de la iglesia de San Pedro Apóstol, actualmente cumple la función de casa parroquial",La Casa Inglesa,,Edificio emblemático,28.159526278158506,-16.63707608334054
Patrimonio Arquitectónico,"En 1643 comenzó a construirse este monasterio en un solar ubicado frente a 
la costa de Garachico, puesto bajo la advocación de San Pedro y San Cristóbal por así llamarse los hijos de quien fuera su patrono, Cristóbal de Ponte y Hoyo. Aunque el edificio no padeció la erupción del volcán de Trevejo en 1706, tres años más tarde un voraz incendió lo asoló en su totalidad, siendo reconstruido gracias a la disposición del obispo Juan Francisco Guillén. También ha sufrido las consecuencias de la fuerza del mar, como en 1856, que destruyó parte de la construcción. A diferencia de los otros cuatro conventos de la Villa y Puerto, no fue afectado por la desamortización.",Monasterio de la Inmaculada Concepción,,Edificio religioso,28.374493977755428,-16.7633684059264
Patrimonio Biológico,"Se trata de varios individuos de gran porte situados en una zona con fayas y brezos viejos. Les cuelgan Usneas y musgos, están trifurcados y presentan numerosos chupones",Acebiños de Los Órganos,Parque Natural de Corona Forestal,Árbol monumental,28.36097833029032,-16.48649197458221
Asentamientos,"Barrio situado a 14 kilómetros del casco de Los Silos, que fue en épocas pasadas eminentemente agrícola y ganadero, y posteriormente a las minas de tierra, dejando un paisaje singular, que en época de lluvias crea las famosas Charcas de Erjos",Erjos,,Núcleo poblacional,28.327858432784083,-16.80523189291687
Patrimonio Arquitectónico,Ermita construida a finales del siglo XVII dentro de las tierras del Conde del Palmar,Iglesia de Nuestra Señora de la Consolación,Parque Rural de Teno,Edificio religioso,28.344101952347955,-16.84606545295289
Patrimonio Arquitectónico,"Primer edificio religioso que se construyó en Guía de Isora, en el siglo XVI. Consta de tres naves que mantienen el aspecto de una iglesia tradicional canaria con cubiertas de madera y piso de piedra de cantería. En esta iglesia se encuentran diversos retablos, pinturas e imágenes de gran valor artístico y patrimonial.",Iglesia de Nuestra Señora de la Luz,,Edificio religioso,28.20953912180546,-16.778609029824427
Patrimonio Biológico,Algunas ramas casi tocan la ladera debido a su enorme tamaño. Presenta tres pernadas a los dos metros,Pino del Sendero,Parque Natural de Corona Forestal,Árbol monumental,28.36029696610297,-16.497706952139815
Patrimonio Geológico,,Barranco de Benijo,Parque Rural de Anaga,Barranco,28.57457695357689,-16.189323393318766
Asentamientos,"El surgimiento del núcleo histórico se remonta a las etapas finales del 
proceso de conquista de la isla por las tropas del adelantado Alonso Fernández de Lugo, el cual estableció su campamento (El Real) en el lugar que posteriormente pasaría a llamarse El Realejo (de Arriba y de Abajo). Este conjunto sufrió un profunda transformación durante el siglo XX, aunque se pudo conservar destacadas viviendas, sobre todo en la calle El Medio Arriba, con ejemplos de arquitectura del siglo XVIII, con planta en forma de L y corredor exterior, y otras eclécticas de finales del siglo XIX y principios del XX.",Conjunto Histórico El Realejo Alto,,Bien de Interés Cultural,28.37707657297188,-16.585325772113908
Patrimonio Biológico,"Este pino tiene tres ramas principales a 1 m. En la zona, cuya vegetación corresponde con un pinar mixto, hay 
numerosos pinos grandes, de más de 4 m de perímetro como el Pino de la Quilla y el de la Vereda, de 501 cm","Pino ""la medida""",,Árbol monumental,28.384033469640134,-16.478163167534564
Patrimonio Etnográfico,Varias eras para la difusión de uso a los visitantes del museo,Eras del Ecomuseo de El Tanque,Parque Rural de Teno,Instalación agrícola,28.3188920921576,-16.798640014222322
Patrimonio Arquitectónico,"El valor histórico de este inmueble radica en que en él nació el historiador y erudito canario José Viera y  Clavijo, máximo representante de la Ilustración en Canarias. Creció y disfrutó de sus primeros años de vida y de formación académica, enseñanzas que recibiría en el convento de los dominicos de La Orotava. Durante su adolescencia despertó su inquietud como literato y adquirió la influencia del racionalismo ilustrado que posteriormente lo caracterizaría. La vivienda data del siglo XVII con planta en forma rectangular y patio posterior, con una disposición de vanos irregulares en su fachada.",Casa Natal de Viera y Clavijo,,Edificio emblemático,28.379016636683392,-16.587009676593535
Patrimonio Etnográfico,,Fuente Pianola,Parque Rural de Anaga,Instalación hidráulica,28.560416444416376,-16.217422805196247
Asentamientos,"Lugar simbólico y mágico para los guanches. Los antiguos pobladores de la isla lo utilizaban para realizar sepulturas colectivas, y lo consideraban uno de los sitios para acoger el ganado sagrado de la Virgen de Candelaria",Igueste de Candelaria,,Núcleo poblacional,28.38261249612341,-16.374568614499747
Asentamientos,"El ámbito delimitado por el BIC acoge el área fundacional del núcleo de Arona, cuyos orígenes se remontan al momento de la fundación de la primitiva ermita, erigida en honor a San Antonio Abad por Antón Domínguez ""el Viejo"" en 1625, que posteriormente se reforma y amplía en 1796 y a principios del siglo XIX.Destacan en el conjunto las casas señoriales que rodean la parroquia, y su trazado de calles con calzada adoquinada que le otorga la calidad de uno de los mejores núcleos conservados de la isla.",Conjunto Histórico de Arona,,Bien de Interés Cultural,28.10023315540333,-16.680786795926803
Cultura y Arte,Homenaje a Sebastián Ramos «El Puntero» (1894-1976) uno de los más importantes artistas que ha dado el folclore canario a lo largo de la historia y nacido en la Punta del Hidalgo,"""El Puntero"" en memoria de SebastiánRamos",,Escultura,28.57105265247592,-16.31807108583758
Patrimonio Geológico,,Pico Baracán,Parque Rural de Teno,Montaña/Volcán,28.334817451804128,-16.862803101794793
Patrimonio Etnográfico,"El Paisaje Agrario de Trevejos es un espacio dedicado a la agricultura, donde el cultivo principal es la viña. Este entorno agrícola se caracteriza por sus campos de viñedos en bancada que abarcan el paisaje.",Paisaje Agrario de Trevejos,Paisaje Protegido de Ifonche,Paisaje agrario,28.153868942123346,-16.664673352153514
Cultura y Arte,"Escultura íntegra de bronce, del artista Eladio de la Cruz, que rinde homenaje al baile de las Libreas, símbolo representativo del tesoro etnográfico de El Palmar. El baile de Las Libreas se sigue celebrando cada año, y simboliza la lucha entre el bien y el mal","Escultura Homenaje al Baile de las 
Libreas",Parque Rural de Teno,Escultura,28.34528163052331,-16.846263344557354
Patrimonio Arquitectónico,,Puente de Guayero,Paisaje Protegido de Ifonche,Infraestructura emblemática,28.150203668954777,-16.673105048055227
Patrimonio Biológico,Situado a unos 100 metros sobre el sendero PR 35.2 (Ruta del agua).Tiene dos pernadas. Se encuentra en una zona de difícil acceso,Pino Lomo del Jaral,Parque Natural de Corona Forestal,Árbol monumental,28.35872314624308,-16.487350836965078
Patrimonio Biológico,"Difícilmente mensurable, mide aproximadamente 7 m de perímetro. Ramificado a los 2.50 m de altura. Se encuentra al borde de barranco límite entre La Orotava y Santa Úrsula, junto al Pino Rey",Pino de Don Alberto,,Árbol monumental,28.390600695448967,-16.48257335928039
Patrimonio Biológico,"Se encuentra en una loma, cercano a otros grandes pinos utilizados antiguamente para la extracción de la brea.Tiene una forma característica, achaparrado, con cuatro grandes pernadas. El aspecto actual es de un gran candelabro de cuatro brazos, del que sobresale una gran rama de 19 m hacia el NO. Ha sobrevivido a distintos incendios, mostrándose como un viejo superviviente. En esta parte del Bosque situado sobre la galería de Tágara, se desarrolló durante los siglos XVIII y XIX una intensa actividad relacionada con la industria de la brea para calafatear navíos. Se trata, por tanto de una zona de numerosos pinos enteados y furados, que tuvieron una importancia económica muy importante para la zona.",Pino de las Cuatro Pernadas,Parque Natural de Corona Forestal,Árbol monumental,28.22232004016083,-16.711969518651074
Servicios y Facilidades,"Variedad de frutas y verduras, especias, dulces y pasteles, quesos y vino",Mercadillo del Agricultor de Los Silos,,Mercado (festivos),28.365579528051985,-16.817510555109184
Patrimonio Geológico,,Roque de la Grieta,Parque Nacional del Teide,Formación rocosa,28.22501666289909,-16.588802234942644
Patrimonio Biológico,"Su corteza era utilizada con usos medicinales. Antes medía unos 13 m, pero un temporal le partió bastantes ramas. 
En la base de su tronco posee un hueco de donde partía un fuste más robusto que el actual. Hoy salen varios chupones de su base y está algo escorado",Chopo de La Hoya,,Árbol monumental,28.32309133740885,-16.788765119373036
Servicios y Facilidades,"Lugar donde se fundó Tegueste, ya que dispone de unas condiciones orográficas favorables para el asentamiento de la población, especialmente en cuanto a la facilidad de acceso ya la disponibilidad de agua",Plaza de la Arañita,,Plaza/parque,28.52396447211186,-16.33260202737755
Patrimonio Arquitectónico,"Ermita situada junto al Parador de las Cañadas del Teide, con una nave de forma rectangular. Es un templo muy austero, pero de gran belleza, construida en 1954, y con la imagen de la Virgen de las Nieves de mármol blanca coronando su altar",Ermita de Nuestra Señora de las Nieves,Parque Nacional del Teide,Edificio religioso,28.22378169266809,-16.627965908375852
Patrimonio Biológico,"Tiene un hueco de 230 cm de altura, 100 cm de ancho y 80 cm de fondo a partir de 80 cm del suelo. 
Se encuentra en una zona donde hay otros pinos padre», como el Pino Trebejo, el Pino de Nica o el Pino Loro",Pino del Cercado de las Mulas,Parque Rural de Teno,Árbol monumental,28.318782665041564,-16.796173740131565
